ProductID,FatContent,ProductVisibility,ProductType,MRP,OutletID,EstablishmentYear,LocationType,OutletType,CustomerSegmentCode,SalesCategory
DRA12,Low Fat,0,Soft Drinks,141.6154,OUT045,2002,Tier 2,Supermarket Type1,Green,High
DRA12,LF,0,Soft Drinks,141.9154,OUT035,2004,Tier 2,Supermarket Type1,Green,Low
DRA12,Low Fat,0.040911824,Soft Drinks,142.3154,OUT013,1987,Tier 3,Supermarket Type1,Blue,Medium
DRA12,Low Fat,0.041112694,Soft Drinks,142.0154,OUT018,2009,Tier 3,Supermarket Type2,Green,Low
DRA12,Low Fat,0.041177505,Soft Drinks,140.3154,OUT017,2007,Tier 2,Supermarket Type1,Blue,Medium
DRA12,Low Fat,0.068535039,Soft Drinks,143.0154,OUT010,1998,Tier 3,Grocery Store,Blue,Low
DRA24,Regular,0.039734882,Soft Drinks,165.7868,OUT027,1985,Tier 3,Supermarket Type3,Blue,High
DRA24,Regular,0.039895009,Soft Drinks,162.4868,OUT013,1987,Tier 3,Supermarket Type1,Blue,High
DRA24,Regular,0.039920687,Soft Drinks,163.3868,OUT035,2004,Tier 2,Supermarket Type1,Green,High
DRA24,Regular,0.039990314,Soft Drinks,165.0868,OUT049,1999,Tier 1,Supermarket Type1,Blue,Low
DRA24,Regular,0.040154087,Soft Drinks,164.6868,OUT017,2007,Tier 2,Supermarket Type1,Green,Medium
DRA24,Regular,0.066831682,Soft Drinks,163.8868,OUT010,1998,Tier 3,Grocery Store,Red,Low
DRA24,Regular,0.069909188,Soft Drinks,163.2868,OUT019,1985,Tier 1,Grocery Store,Blue,Low
DRA59,Regular,0,Soft Drinks,183.2924,OUT017,2007,Tier 2,Supermarket Type1,Blue,Medium
DRA59,Regular,0.127308434,Soft Drinks,186.6924,OUT027,1985,Tier 3,Supermarket Type3,Green,High
DRA59,Regular,0.127821472,Soft Drinks,185.9924,OUT013,1987,Tier 3,Supermarket Type1,Red,Low
DRA59,Regular,0.127927931,Soft Drinks,184.8924,OUT046,1997,Tier 1,Supermarket Type1,Red,High
DRA59,Regular,0.128126825,Soft Drinks,183.6924,OUT049,1999,Tier 1,Supermarket Type1,Blue,Medium
DRA59,Regular,0.128449055,Soft Drinks,186.5924,OUT018,2009,Tier 3,Supermarket Type2,Blue,High
